state,PopulationEstimate65+2017,PopulationDensityperSqMile2010,CensusPopulation2010,MedianAge2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",3-YrDiabetes2015-17,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,#FTEHospitalTotal2017,"TotalM.D.'s,TotNon-FedandFed2017",#HospParticipatinginNetwork2017,#Hospitals,#ICU_beds,PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,SVIPercentile,HPSAServedPop,HPSAUnderservedPop,forMask,notForMask
AL,803771.0,94.39261765123622,4779736.0,37.78671564705666,1080141.0,781836.0,51.98569105071912,224.1361792994425,50.8440068447295,18.882775928365653,73.1952948447362,88369.0,12954.0,11.0,86.0,1533.0,155265.0,149692.0,157340.0,150889.0,163417.0,156238.0,175151.0,168320.0,167520.0,167802.0,153716.0,157318.0,146424.0,151464.0,303785.0,315716.0,337828.0,356026.0,149633.0,162273.0,131603.0,144524.0,170036.0,200465.0,85611.0,125996.0,22859.0,52825.0,2020-04-03 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.6251858837391857,23712.14111197774,14838.123607872902,0.38,0.62
AK,82580.0,1.629251020588356,710231.0,33.99283472560336,101293.0,79279.0,27.693265993740063,141.55846604837015,35.26165599642933,17.31048266778864,52.089551638832994,15003.0,2100.0,1.0,22.0,119.0,27896.0,26100.0,26038.0,24849.0,26147.0,24669.0,27179.0,24962.0,29706.0,24713.0,29307.0,26112.0,24861.0,22845.0,48377.0,44597.0,57686.0,53340.0,26394.0,23577.0,19231.0,16707.0,18376.0,16974.0,6770.0,8107.0,1660.0,3051.0,2020-03-27 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-19 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.4608428832309487,7596.929276531157,30867.388505993124,0.42,0.58
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
AZ,1201746.0,56.28950910360852,6392017.0,36.150970968944556,1346727.0,1072318.0,729.8383380394639,136.0550553448153,29.371530707756257,14.653214624071616,51.47643123915346,98442.0,20222.0,27.0,76.0,1559.0,232562.0,223153.0,231246.0,222434.0,228995.0,219669.0,237280.0,224302.0,229562.0,213022.0,225608.0,214390.0,212223.0,204472.0,416123.0,406371.0,414910.0,427636.0,178665.0,196603.0,166954.0,184006.0,236227.0,261665.0,127730.0,152809.0,37738.0,65662.0,2020-03-31 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.7251046051817447,0.0,0.0,0.36,0.64
AR,499144.0,56.050094170639746,2915918.0,37.56533201550934,670352.0,480990.0,34.47246390330592,221.7436104513227,45.50386907313582,19.626506068842303,69.34678076338223,58025.0,7753.0,32.0,74.0,732.0,100950.0,96739.0,100871.0,96006.0,100896.0,96663.0,104178.0,99627.0,100801.0,98849.0,96155.0,95998.0,92277.0,91462.0,182698.0,183510.0,200528.0,206738.0,88935.0,95025.0,80356.0,86675.0,110138.0,124464.0,56320.0,77657.0,16534.0,34868.0,0,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-17 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.6642560646424214,3570.7435102770387,1305.5904020620608,0.39,0.61
CA,5505358.0,239.10162508509742,37253956.0,35.19116070250365,6466995.0,5268063.0,927.9118822978153,145.32426108250087,35.778086939276996,11.075844618842863,42.272408756804246,551825.0,137635.0,107.0,329.0,7338.0,1294056.0,1237277.0,1279563.0,1226276.0,1325915.0,1265015.0,1455082.0,1368858.0,1440785.0,1325164.0,1408698.0,1335711.0,1304347.0,1269121.0,2604693.0,2578017.0,2608527.0,2643844.0,1069976.0,1134320.0,879171.0,953026.0,1053626.0,1221710.0,582576.0,787634.0,210815.0,390153.0,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.6554277341713719,27.625375892965568,11.664695260820086,0.52,0.48
CO,772042.0,48.58538992502086,5029196.0,36.27876280821032,965047.0,745047.0,71.79124476357653,128.10968150774002,34.111117204419955,13.774607814626577,57.18307833697472,82584.0,19021.0,21.0,80.0,1095.0,176361.0,167599.0,177782.0,170821.0,170192.0,162462.0,175730.0,163745.0,181765.0,166850.0,192007.0,180452.0,181317.0,172502.0,358108.0,341536.0,369391.0,373307.0,161766.0,166598.0,132389.0,136891.0,147507.0,162453.0,73229.0,96823.0,23118.0,46495.0,2020-03-25 00:00:00,2020-03-24 00:00:00,2020-03-13 00:00:00,2020-03-23 00:00:00,2020-03-20 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.33258369697661416,2711.5041573245503,4416.583188843704,0.49,0.51
CT,602410.0,738.0832627872996,3574097.0,39.9868580791176,702030.0,572565.0,137.3360191399394,146.41781093238376,26.744365891580443,11.584537536000552,43.80918529071818,61485.0,16693.0,19.0,30.0,674.0,103475.0,98631.0,113763.0,108808.0,122924.0,117341.0,128949.0,121885.0,117117.0,110781.0,107986.0,106159.0,102038.0,104194.0,236192.0,248246.0,280718.0,294879.0,116699.0,123458.0,96939.0,106356.0,117589.0,137355.0,68277.0,98440.0,26948.0,57950.0,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.42433441249635917,0.0,0.0,0.47,0.53
DE,174128.0,460.81901896972954,897934.0,38.89188715428974,210651.0,166602.0,90.07199972381045,164.39419289168248,41.034430370160834,15.713336859266851,51.852451260337624,21793.0,2950.0,0.0,6.0,186.0,28415.0,27471.0,28777.0,27709.0,28953.0,27895.0,32652.0,31931.0,31493.0,31374.0,28719.0,28884.0,26409.0,27405.0,56449.0,59638.0,64477.0,69077.0,27147.0,30669.0,24916.0,28197.0,33585.0,38868.0,17833.0,23247.0,5114.0,10630.0,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-16 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.4451568104114556,0.0,23927.005264306732,0.41,0.59
DC,83734.0,9856.5,601723.0,33.8,98483.0,76006.0,142.0,202.1,36.5,15.96559215,30.21,29315.0,6524.0,0.0,6.0,314.0,16533.0,16080.0,13198.0,12949.0,12641.0,12400.0,18951.0,20968.0,28801.0,35309.0,32167.0,37482.0,26617.0,28479.0,40583.0,40076.0,37648.0,38055.0,15994.0,18280.0,13398.0,16305.0,16276.0,20693.0,8298.0,13227.0,3117.0,7198.0,2020-04-01 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.5965,0.0,0.0,0.56,0.44
FL,4214635.0,350.60916865610614,18801310.0,40.99669106567574,4738978.0,3747058.0,275.82731182029335,152.4758149299172,37.380438767298656,16.994786344877195,48.597324658228594,314333.0,70226.0,54.0,178.0,5604.0,547985.0,525521.0,551053.0,529202.0,578689.0,552158.0,631287.0,597095.0,627063.0,601695.0,594897.0,584330.0,555239.0,555079.0,1208471.0,1222783.0,1341368.0,1400125.0,569009.0,633409.0,533868.0,601382.0,806101.0,921839.0,486012.0,611525.0,158313.0,275812.0,2020-04-01 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.6080501422666824,4609.397886104746,20753.60648965418,0.44,0.56
GA,1407810.0,168.44114504188414,9687653.0,35.48087101179201,1809060.0,1340418.0,60.25647213004016,178.60806095139867,44.03886289073317,16.591399533945943,61.03474819236404,156926.0,28843.0,38.0,129.0,2508.0,350673.0,336112.0,353909.0,341252.0,352577.0,337107.0,362934.0,347065.0,344477.0,335603.0,333831.0,340104.0,324379.0,337246.0,684552.0,712988.0,677480.0,713772.0,271779.0,301772.0,234550.0,261456.0,279063.0,327366.0,125656.0,186127.0,33311.0,80512.0,2020-04-02 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.5837380860771952,7884.67471708576,12556.228523048876,0.45,0.55
GU,14384.0,759.6,159358.0,29.5,17602.0,14284.0,39.0,291.1,60.3,0.0,0.0,2216.0,231.0,0.0,0.0,0.0,7345.0,6944.0,7200.0,6784.0,7777.0,7269.0,7473.0,6934.0,6678.0,5701.0,5431.0,5315.0,5151.0,5195.0,11914.0,11149.0,10579.0,9696.0,3828.0,3887.0,3181.0,3180.0,3345.0,3574.0,1363.0,1772.0,303.0,390.0,0,0,0,0,0,0,0,0,0.0,129000.0,49457.0,0.0,1.0
HI,253560.0,211.66793472507922,1360301.0,38.600440196691764,278167.0,236201.0,145.62015392181587,133.54470429706367,35.49246409434383,11.691119958898106,27.748432442525587,20601.0,5554.0,7.0,21.0,201.0,45019.0,42388.0,42847.0,40514.0,41699.0,39840.0,44590.0,41404.0,51981.0,43848.0,50683.0,46619.0,44921.0,43110.0,89247.0,87126.0,97044.0,96721.0,46148.0,47192.0,40879.0,41343.0,47989.0,52534.0,26844.0,37533.0,11352.0,18886.0,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-23 00:00:00,2020-03-20 00:00:00,2020-03-25 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.4687218949335478,23602.321133337402,24020.92375511008,0.58,0.42
ID,264901.0,18.98266615229395,1567582.0,35.03466006881938,342695.0,262825.0,30.82068561644622,157.3990226986531,36.3975701430611,13.598363511474636,58.214105794784594,32231.0,3654.0,15.0,42.0,314.0,62468.0,59304.0,61887.0,59308.0,60104.0,56851.0,58936.0,56423.0,54782.0,53427.0,54818.0,51916.0,52206.0,50025.0,97097.0,94512.0,103552.0,104985.0,48095.0,48902.0,41542.0,41774.0,53796.0,55738.0,27033.0,32859.0,9008.0,16234.0,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.39432457727889186,11045.113411611006,11443.709929687888,0.31,0.69
IL,1945398.0,231.15483244294805,12830632.0,36.71337287983942,2311320.0,1859950.0,509.14055628748434,168.22771622629367,38.0650956164903,14.44634947884778,49.34670135812483,229571.0,46328.0,83.0,176.0,3144.0,425893.0,409684.0,438556.0,420849.0,449160.0,430288.0,473736.0,448356.0,447513.0,431451.0,456887.0,453386.0,433782.0,431902.0,859232.0,866658.0,919376.0,951503.0,392322.0,415456.0,318903.0,346526.0,389299.0,460236.0,214725.0,310041.0,72892.0,162020.0,2020-03-21 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.48704371582787204,2595.4691283328834,2499.229946194389,0.43,0.57
IN,1024890.0,180.9914829338269,6483802.0,36.946083008086916,1301449.0,1001343.0,78.43631853656234,181.29164774001424,39.9752554751055,19.442130979770525,69.41192126625705,123318.0,17776.0,42.0,118.0,1861.0,221819.0,212256.0,227736.0,217085.0,230960.0,221211.0,243490.0,232025.0,228268.0,223758.0,210811.0,208719.0,204713.0,203102.0,421041.0,419789.0,468771.0,477997.0,205257.0,213258.0,168979.0,181649.0,210180.0,242155.0,112065.0,161436.0,35647.0,79625.0,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-13 00:00:00,2020-03-19 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.47691098081033306,10905.783068020894,3889.3242984594517,0.36,0.64
IA,526057.0,54.54882905227739,3046355.0,38.30844789921069,645382.0,521116.0,29.448610224350077,158.06798442729098,32.42480255912393,15.945904845843053,58.394572297056634,61451.0,7403.0,83.0,116.0,545.0,103401.0,98722.0,102669.0,97977.0,103327.0,97577.0,111239.0,105598.0,109467.0,103883.0,101509.0,96334.0,94027.0,90713.0,184384.0,180164.0,219460.0,220266.0,102309.0,102084.0,83250.0,85107.0,105782.0,118874.0,64144.0,89430.0,23351.0,51307.0,0,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.2912166755023628,3163.7429757858163,2350.616789901374,0.29,0.71
KS,449563.0,34.928336879820606,2853118.0,36.38572235708445,553715.0,437787.0,46.97949751815382,156.2017131082557,38.358624739670795,15.928286689550134,63.02173671400903,60326.0,8477.0,65.0,132.0,767.0,104888.0,100604.0,103421.0,99026.0,102156.0,96728.0,105362.0,98459.0,105450.0,99004.0,101077.0,96706.0,91335.0,88602.0,174860.0,171813.0,201239.0,205025.0,90190.0,92322.0,73498.0,75237.0,89380.0,101009.0,53231.0,73178.0,19321.0,39997.0,2020-03-29 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-18 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.3895690128133499,19563.199518211306,23902.527673934273,0.32,0.68
KY,711349.0,109.90846063388369,4339367.0,38.0230022259007,962997.0,695872.0,54.7849999781074,198.77029974648377,40.757456145101365,21.062411139814643,77.91172113582464,85508.0,12480.0,37.0,91.0,1392.0,144179.0,138188.0,144859.0,138029.0,145813.0,138341.0,152107.0,144688.0,147432.0,142536.0,143707.0,141589.0,142068.0,138852.0,289481.0,287181.0,316485.0,326612.0,139800.0,148227.0,121225.0,129741.0,151577.0,173737.0,75199.0,108506.0,21020.0,48188.0,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-18 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.5629303633686662,5813.461856533452,3073.460704061216,0.32,0.68
LA,697383.0,104.91251047464584,4533372.0,35.88767160515396,898989.0,665391.0,45.600382893792954,214.3325411636195,46.099667201367986,20.59532590493923,58.88777554103216,94145.0,15610.0,28.0,111.0,1289.0,160136.0,154124.0,156386.0,149976.0,156872.0,149964.0,165747.0,161032.0,169290.0,169019.0,166926.0,165999.0,148120.0,147388.0,279702.0,284897.0,320259.0,334116.0,141798.0,150769.0,116767.0,126228.0,143251.0,168743.0,73141.0,107036.0,20897.0,44789.0,2020-03-23 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.7238477915997189,31213.918630326392,11790.458386163771,0.39,0.61
ME,266214.0,43.04850831512234,1328361.0,42.73435398961578,350304.0,263704.0,39.804139838492695,151.7153662295114,33.508287280340205,15.165483304474655,61.483364740458356,35864.0,4945.0,14.0,33.0,256.0,35767.0,33753.0,38081.0,36035.0,40495.0,38518.0,45541.0,42769.0,40426.0,39220.0,36145.0,36536.0,35662.0,36281.0,84259.0,87117.0,106990.0,111585.0,49861.0,52580.0,44361.0,45299.0,53666.0,58985.0,29463.0,39830.0,9339.0,19797.0,2020-04-02 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-15 00:00:00,2020-03-18 00:00:00,2020-03-24 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.29857215139559196,0.0,0.0,0.38,0.62
MD,904671.0,594.7563624041907,5773552.0,37.92319189296295,1075451.0,854495.0,129.90962045548392,167.70576146192153,38.39246394593831,13.122899937401938,40.95027805066968,109393.0,30460.0,14.0,47.0,1134.0,185916.0,178572.0,186865.0,180003.0,193068.0,185961.0,208249.0,197992.0,199923.0,193775.0,194223.0,199325.0,179279.0,189215.0,382477.0,413095.0,433187.0,469017.0,179108.0,198881.0,149941.0,167838.0,177031.0,209326.0,91485.0,131674.0,31010.0,67116.0,2020-03-30 00:00:00,2020-03-16 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.39423999139524507,823.3154789287427,700.8398431329622,0.49,0.51
MA,1108609.0,839.4792716373586,6547629.0,39.10195050758068,1371986.0,1069811.0,158.07482265717866,136.6886999553579,27.87224028728567,12.789272597329585,44.01396049623459,165835.0,39963.0,28.0,58.0,1326.0,187605.0,179482.0,196547.0,189140.0,207419.0,198194.0,234880.0,227876.0,236256.0,239412.0,218255.0,223270.0,198338.0,205278.0,432409.0,454740.0,493605.0,518830.0,208594.0,224228.0,176295.0,194252.0,208918.0,247542.0,122482.0,178583.0,45025.0,100174.0,2020-03-24 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.4000218714743918,83.21320587956342,47.88053217431837,0.46,0.54
MI,1667196.0,174.83580780315737,9883640.0,38.73102705076267,2134497.0,1635404.0,180.24789065566938,200.60275150652996,38.23861607666811,17.30509415698807,55.843549801490134,191878.0,32885.0,74.0,130.0,2423.0,304587.0,291699.0,326145.0,311639.0,345558.0,329658.0,379477.0,360122.0,338569.0,330503.0,295323.0,294260.0,285510.0,289056.0,633321.0,644653.0,743803.0,766230.0,333377.0,349809.0,275260.0,293551.0,340036.0,384673.0,185555.0,259385.0,61593.0,130288.0,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.46297241119668453,3835.205314135278,4175.018518582222,0.46,0.54
MN,860209.0,66.6534678054374,5303925.0,37.46712679760742,1061932.0,842970.0,84.60710172183809,112.8603462718647,32.90166672794206,13.853050923116166,47.32517701513501,125345.0,21311.0,31.0,127.0,1171.0,181342.0,174162.0,181614.0,173922.0,180356.0,171986.0,188594.0,179235.0,180725.0,174926.0,187562.0,185124.0,174549.0,168351.0,343049.0,338045.0,404251.0,403647.0,174321.0,175268.0,137760.0,142015.0,168373.0,186054.0,95329.0,126701.0,34307.0,72357.0,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-18 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.27837301164703493,711.8147270181989,594.2219512907894,0.33,0.67
MS,461519.0,63.247759224061575,2967297.0,36.037935097160826,627025.0,451762.0,24.104208982114034,233.55266429346307,50.26728766955247,19.3506679067647,70.1816670120989,60989.0,6815.0,31.0,95.0,824.0,107465.0,103491.0,105042.0,100630.0,106606.0,101642.0,114145.0,110474.0,105433.0,105461.0,98610.0,100472.0,92461.0,95710.0,183028.0,191919.0,202265.0,214711.0,89321.0,97248.0,77111.0,83645.0,98428.0,116041.0,48279.0,73300.0,13046.0,31313.0,2020-04-05 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-20 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,0.748594287258741,13558.033778553343,19351.13828174262,0.44,0.56
